Source,Target,Threshold,Ours_Diff,R18_Diff,PG_Diff
Gaze360,MPII,0.1,0.0,0.0001,0.0001
Gaze360,MPII,0.2,0.0001,0.00019999999999999998,0.0001
Gaze360,MPII,0.3,0.0001,0.00010000000000000005,0.0001
Gaze360,MPII,0.4,0.0001,0.00030000000000000003,0.0002
Gaze360,MPII,0.5,9.999999999999996e-05,0.00019999999999999998,0.0002
Gaze360,MPII,1.0,0.0006999999999999999,0.00010000000000000026,0.0006
Gaze360,MPII,2.0,0.0033,0.000899999999999998,0.0017000000000000001
Gaze360,XGaze,0.1,0.0,0.0,0.0005
Gaze360,XGaze,0.2,0.0,0.0001,0.0014999999999999998
Gaze360,XGaze,0.3,0.0,0.0001,0.0029
Gaze360,XGaze,0.4,0.0,0.0003,0.0025000000000000005
Gaze360,XGaze,0.5,0.0001,0.0004,0.0038000000000000013
Gaze360,XGaze,1.0,0.00019999999999999998,0.0010000000000000002,0.012700000000000003
Gaze360,XGaze,2.0,0.0008000000000000001,0.0011000000000000003,0.0353
XGaze,MPII,0.1,0.0,0.0,0.0
XGaze,MPII,0.2,9.999999999999999e-05,0.0001,0.0001
XGaze,MPII,0.3,0.0005,0.00020000000000000004,9.999999999999999e-05
XGaze,MPII,0.4,0.0006000000000000001,0.0006999999999999999,0.00039999999999999986
XGaze,MPII,0.5,0.0012000000000000001,0.0008,0.00010000000000000005
XGaze,MPII,1.0,0.0013000000000000008,0.0021999999999999997,0.0005999999999999998
XGaze,MPII,2.0,0.0051,0.008300000000000002,0.0046
XGaze,XGaze,0.1,0.0,0.006000000000000002,0.0005
XGaze,XGaze,0.2,0.0005,0.0179,0.0014999999999999998
XGaze,XGaze,0.3,0.0007999999999999986,0.03030000000000002,0.0029
XGaze,XGaze,0.4,0.0031000000000000003,0.04069999999999996,0.0025000000000000005
XGaze,XGaze,0.5,0.0030999999999999986,0.05600000000000005,0.0038000000000000013
XGaze,XGaze,1.0,0.012900000000000009,0.06120000000000003,0.012700000000000003
XGaze,XGaze,2.0,0.03610000000000002,0.020199999999999996,0.0353
MPII,MPII,0.1,0.00019999999999999998,0.0017999999999999995,0.0006000000000000001
MPII,MPII,0.2,0.00010000000000000026,0.006500000000000002,0.0015
MPII,MPII,0.3,0.0003999999999999993,0.008599999999999997,0.0021999999999999997
MPII,MPII,0.4,0.0008999999999999998,0.014300000000000007,0.0032000000000000015
MPII,MPII,0.5,0.0016000000000000007,0.0242,0.0053999999999999986
MPII,MPII,1.0,0.004199999999999995,0.044499999999999984,0.015
MPII,MPII,2.0,0.0189,0.04589999999999994,0.06340000000000001
MPII,XGaze,0.1,0.0002,0.0001,0.0001
MPII,XGaze,0.2,0.0004,0.0,0.0003
MPII,XGaze,0.3,0.0008,0.0004999999999999999,0.0
MPII,XGaze,0.4,0.0006000000000000001,0.0008000000000000001,0.00019999999999999987
MPII,XGaze,0.5,0.0009,0.0009000000000000002,0.00030000000000000035
MPII,XGaze,1.0,0.0024999999999999988,0.0023999999999999994,0.0014000000000000002
MPII,XGaze,2.0,0.0032999999999999974,0.0092,0.005299999999999999
